annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous,intended_ambiguous_retrial,intended_figurative,intended_figurative_retrial,intended_literal,intended_literal_retrial,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,know which side one's bread is buttered,He knows which side his bread is buttered,,"He knows which side his bread is buttered, so he keeps his sponsors happy",,"He knows which side his bread is buttered, so he can make sure it's cooked properly",,,ambiguous : figurative : literal,ambiguous,figurative,literal,to be cognizant of where one's interests lie in a given situation.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'figurative']","['ambiguous', 'literal', 'literal']",False,knowing which way the wind blows,I know which way the wind blows,,I know which way the wind blows and will make sure to make the right decisions,,I know which way the wind blows because I looked at the weather report,,,ambiguous : figurative : literal,ambiguous,figurative,literal,this means that you should know how things are developing and be prepared for the future,False,True
"['ambiguous', 'literal', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,last resort,I had to turn to a last resort,,I had to turn to a last resort as searching for a new job became too overwhelming,,I had to turn to a last resort when my other vacation spots were fully booked,,,ambiguous : figurative : literal,ambiguous,figurative,literal,the last thing you would do if you were desperate and all other courses of action had failed,False,True
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']","['ambiguous', 'literal', 'literal']",False,lead astray,She was led astray,<led them astray>,She was led astray by his promises of fame and fortune,the false information <led them astray> in their investigation,She was led astray because she had no sense of direction,the broken compass <led them astray> in the dense forest,0.0,figurative : figurative : literal,figurative,figurative,literal,make someone act or think in a wrong or foolish manner.,False,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,lean towards,They leaned towards the solution,<leaning towards that option>,They leaned towards the solution by including more options,"after considering the pros and cons, she was <leaning towards that option>",They leaned towards the solution because they got too close to it,"while standing near the table, he was <leaning towards that option> to get a closer look",0.0,figurative : figurative : literal,figurative,figurative,literal,to be interested in something,False,False
"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']","['figurative', 'figurative', 'figurative']",False,leaps and bounds,Their progress has grown by leaps and bounds,<made progress in leaps and bounds>,Their progress has grown by leaps and bounds since they found the right mentor,"after attending the workshop, her skills <made progress in leaps and bounds>",Their progress has grown by leaps and bounds since they increased the number of hours they spend studying,the kangaroo <made progress in leaps and bounds> across the field,0.0,figurative : figurative : figurative,figurative,figurative,figurative,progress very quickly,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,learn to walk before you run,He learned to walk before he ran,,He learned to walk before he ran by starting small and slowly expanding his capabilities,,He learned to walk before he ran by taking practice steps until he could run,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to take smaller steps initially,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",False,leave at the altar,Alan left her at the altar,,Alan left her at the altar when he called off their wedding,,Alan left her at the altar by escaping through the back door,,,ambiguous : figurative : literal,ambiguous,figurative,literal,decide not to marry someone at the very last moment,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,leave no stone unturned,He left no stone unturned,,He left no stone unturned while investigating the case,,He left no stone unturned while digging in the garden,,,ambiguous : figurative : literal,ambiguous,figurative,literal,do everything that is possible in order to achieve something,False,True
"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,leg up,He gave me a leg up,,He gave me a leg up and helped me land my dream job,,He gave me a leg up by literally helping me get on my horse,,,ambiguous : figurative : literal,ambiguous,figurative,literal,give or receive assistance to achieve a goal,False,True
"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,let sleeping dogs lie,We should let sleeping dogs lie,,We should let sleeping dogs lie and not discuss the matter any further,,We should let sleeping dogs lie and not disturb them while they rest,,,ambiguous : figurative : literal,ambiguous,figurative,literal,its best to leave a situation as it is if disturbing it might cause trouble,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,let the cat out of the bag,She let the cat out of the bag,,She let the cat out of the bag and exposed the secret plan to the public,,She let the cat out of the bag and the cat ran away,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to let a secret out in the open,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'literal']",False,lick his wounds,He was licking his wounds,<licked his wounds after the fight>,He was licking his wounds after the loss in the election,he <licked his wounds after the fight> by taking some time to recover from the emotional blow,He was licking his wounds after he fell off his bike,the injured dog <licked his wounds after the fight> with another canine,0.0,ambiguous : figurative : ambiguous,ambiguous,figurative,ambiguous,"to try to recover your confidence or spirit after a defeat, failure or disappointment",False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,lick your lips,He licked his lips,<licked their lips>,He licked his lips in anticipation of the delicious meal that was about to come,they <licked their lips> in anticipation of the delicious meal,He licked his lips to moisten them,"after eating the ice cream, they <licked their lips> to clean off the remaining traces",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,to show that you're excited about something and are eager for it to happen,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'figurative']","['ambiguous', 'ambiguous', 'literal']",False,lie low,He decided to lie low,<decided to lie low>,He decided to lie low and not draw attention to himself,"after the controversy, she <decided to lie low> and avoid the media",He decided to lie low on the ground,"during the game of hide and seek, he <decided to lie low> in the tall grass",0.0,ambiguous : ambiguous : ambiguous,ambiguous,ambiguous,ambiguous,"To go out of sight, usually after having done something bad.",False,False
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,lights are on but nobody is home,His lights are on but nobody is home,,His lights are on but nobody is home; it's like he's unaware of his surroundings,,His lights are on but nobody is home; he must have gone out,,,ambiguous : figurative : literal,ambiguous,figurative,literal,used to describe a stupid person.,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,line in the sand,He drew a line in the sand,,He drew a line in the sand when it came to the issue of whether to stay with his current job,,He drew a line in the sand so that he could see it from across the beach,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a boundary beyond which one cannot proceed without consequences,False,True
