idiom,meaning,example,source,dupl,idiom_set,idiom_dict,meaning_dict,example_dict,idiom_pfbt,meaning_pfbt
good account of,"performed well, even if one was not completely successful.",The team played excellently and gave a good account of itself.,dict,0,"frozenset({'good', 'account'})",good account of,"performed well, even if one was not completely successful.",The team played excellently and gave a good account of itself.,,
24/7 (twenty-four-seven),constantly,Kincaid said the center will be open 24/7 and will employ 30 people.,dict,0,"frozenset({'twenti', 'four', '7', 'seven', '24'})",24/7 (twenty-four-seven),constantly,Kincaid said the center will be open 24/7 and will employ 30 people.,,
piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,"During the invasion, the soldiers were full of piss and vinegar, and therefore they went straight into the front lines.",dict,0,"frozenset({'piss', 'vinegar'})",piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,"During the invasion, the soldiers were full of piss and vinegar, and therefore they went straight into the front lines.",,
keep your pants on,to tell someone to be calm.,I told him to keep his pants on after being punked.,dict,0,"frozenset({'keep', 'pant'})",keep your pants on,to tell someone to be calm.,I told him to keep his pants on after being punked.,,
busy as a beaver,work very hard and actively.,"I often find my husband in the garage, busy as a beaver, working on some new project.",dict,0,"frozenset({'beaver', 'busi'})",busy as a beaver,work very hard and actively.,"I often find my husband in the garage, busy as a beaver, working on some new project.",,
wrap one's head around,to understand and appreciate.,It can be hard to wrap your head around what exactly happened.,dict,0,"frozenset({'around', 'wrap', 'head'})",wrap one's head around,to understand and appreciate.,It can be hard to wrap your head around what exactly happened.,,
cool your jets,to calm down and stop being so anxious or elated.,"Even though she wronged you, just cool your jets, and you will be fine.",dict,0,"frozenset({'jet', 'cool'})",cool your jets,to calm down and stop being so anxious or elated.,"Even though she wronged you, just cool your jets, and you will be fine.",,
bigger fish to fry,"to have other, more important things to do.",You are not worth my time or energy; I have bigger fish to fry.,dict,0,"frozenset({'bigger', 'fri', 'fish'})",bigger fish to fry,"to have other, more important things to do.",You are not worth my time or energy; I have bigger fish to fry.,,
Great Scott,"""Great Scott!"" is an interjection of surprise, wonder, or consternation.","She took one look at the screen before crying out ""Great Scott!"" in celebration.",dict,0,"frozenset({'great', 'scott'})",Great Scott,"""Great Scott!"" is an interjection of surprise, wonder, or consternation.","She took one look at the screen before crying out ""Great Scott!"" in celebration.",,
pound of flesh,an unreasonable demand but something that is one's legal right.,"If you do not pay the amount of money, I have lent you by the agreed time, I will get a pound of flesh from you in return.",dict,0,"frozenset({'pound', 'flesh'})",pound of flesh,an unreasonable demand but something that is one's legal right.,"If you do not pay the amount of money, I have lent you by the agreed time, I will get a pound of flesh from you in return.",,
top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","Given the latest shakeups, she is hoping that her experience will make her the top dog in the accounting department.",dict,0,"frozenset({'dog', 'top'})",top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","Given the latest shakeups, she is hoping that her experience will make her the top dog in the accounting department.",,
in short order,immediately and without difficulty.,The children got ready in short order to go to the park and play.,dict,0,"frozenset({'order', 'short'})",in short order,immediately and without difficulty.,The children got ready in short order to go to the park and play.,,
tickle someone's fancy,to attract or interest someone.,Does the menu have anything that tickles your fancy? ,dict,0,"frozenset({'tickl', 'somef'})",tickle someone's fancy,to attract or interest someone.,Does the menu have anything that tickles your fancy? ,,
like a cat on a hot tin roof,in a state of agitation.,The coach acted like a cat on a hot tin roof throughout the game.,dict,0,"frozenset({'hot', 'tin', 'like', 'cat', 'roof'})",like a cat on a hot tin roof,in a state of agitation.,The coach acted like a cat on a hot tin roof throughout the game.,,
nail biter,"a situation like a close contest, which induces anxiety or tension.",Friday's nail-biter of a win over the Houston Texans was an excruciating contest.,dict,0,"frozenset({'biter', 'nail'})",nail biter,"a situation like a close contest, which induces anxiety or tension.",Friday's nail-biter of a win over the Houston Texans was an excruciating contest.,,
the rose that grew from concrete,a person who achieved greatness even though they came from a place not so great.,"Ken performed well despite his poor background, much like the rose that grew from concrete.",dict,0,"frozenset({'grew', 'rose', 'concret'})",the rose that grew from concrete,a person who achieved greatness even though they came from a place not so great.,"Ken performed well despite his poor background, much like the rose that grew from concrete.",,
bird's eye view,an overview.,You can get a bird's-eye view of the city by going to the topmost floor.,dict,0,"frozenset({'bird', 'view', 'eye'})",bird's eye view,an overview.,You can get a bird's-eye view of the city by going to the topmost floor.,,
on the money,being right about something.,What he predicted was right on the money.,dict,0,frozenset({'money'}),on the money,being right about something.,What he predicted was right on the money.,,
beyond the pale,unacceptable.,Nobody will want to be friends with you if you are considered beyond the pale in your social circle.,dict,0,"frozenset({'pale', 'beyond'})",beyond the pale,unacceptable.,Nobody will want to be friends with you if you are considered beyond the pale in your social circle.,,
