idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt,p_l_he_gpt
not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","Despite his intimidating appearance, he [[wouldn't hurt a fly]] and was very gentle",She was so careful with her bug collection that she [[wouldn't hurt a fly]] while handling them,"Despite his intimidating appearance, he wouldn't hurt a fly and was very gentle",She was so careful with her bug collection that she wouldn't hurt a fly while handling them,wouldn't hurt a fly,Würde keiner Fliege etwas zuleide tun.,Trotz seines einschüchternden Aussehens würde er keiner Fliege etwas zuleide tun und war sehr sanft.,"Sie war so vorsichtig mit ihrer Insektensammlung, dass sie beim Umgang mit ihnen nicht einmal einer Fliege wehtun würde.",לא יפגע בזבוב,"למרות המראה המפחיד שלו, הוא לא היה מזיק לכלום והיה עדין מאוד.",היא הייתה כל כך זהירה עם אוסף החרקים שלה עד שהיא לא הייתה מפגיעה בזבוב בזמן הטיפול בהם.
not playing with a full deck,not mentally sound,His strange ideas made it seem like he was [[not playing with a full deck]],"During the poker game, we discovered we were [[not playing with a full deck]] when the ace of spades appeared twice",His strange ideas made it seem like he was not playing with a full deck,"During the poker game, we discovered we were not playing with a full deck when the ace of spades appeared twice",not playing with a full deck,nicht alle Tassen im Schrank haben,"Seine seltsamen Ideen ließen es so aussehen, als ob er nicht alle Tassen im Schrank hätte.","Während des Pokerspiels haben wir festgestellt, dass wir nicht mit einem vollständigen Deck spielen, als zweimal die Pik-Ass erschien.",לא משחק עם חפיסה מלאה,הרעיונות המוזרים שלו גרמו להראות כאילו הוא לא משחק עם חפיסה מלאה.,"במהלך משחק הפוקר, גילינו שאיננו משחקים עם חפיסה מלאה כשהאס קלף הופיע פעמיים."
off grid,disconnected from municipal utility systems.,He decided to disconnect from social media and [[started living off grid]],They built a cabin in the woods and [[started living off grid]] without electricity or running water,He decided to disconnect from social media and started living off grid,They built a cabin in the woods and started living off grid without electricity or running water,started living off grid,begannen off-grid zu leben.,"Er entschied sich, sich von sozialen Medien abzumelden und begann, abseits des Netzes zu leben.","Sie bauten eine Hütte im Wald und begannen, abseits des Stromnetzes ohne Strom oder fließendes Wasser zu leben.",התחיל לחיות מחוץ לרשת,הוא החליט לנתק את עצמו מרשתות החברתיות והתחיל לחיות מחוץ לרשת.,הם בנו בקתה ביער והתחילו לחיות מחוץ לרשת עם אין חשמל או מים זורמים.
old hat,Someone who is old fashioned. The phrase can directly refer to old fashion too.,"She's [[an old hat at]] programming, having done it for years","He found [[an old hat at]] the back of his closet, covered in dust","She's an old hat at programming, having done it for years","He found an old hat at the back of his closet, covered in dust",an old hat at,ein alter Hut bei,"Sie ist eine alte Hasin im Programmieren, da sie es seit Jahren tut.","Er fand einen alten Hut am Ende seines Schrankes, bedeckt mit Staub.",כובע ישן,"היא מומחית בתכנות, עושה זאת כבר שנים.","הוא מצא כובע ישן בפינת הארון שלו, מכוסה באבק."
old school,old fashioned ideas or approach compared to current trends,"He prefers [[an old school approach]] to communication, like writing letters",The museum showcased [[an old school approach]] to education with antique desks and chalkboards,"He prefers an old school approach to communication, like writing letters",The museum showcased an old school approach to education with antique desks and chalkboards,an old school approach,ein altmodischer Ansatz,"Er bevorzugt einen altmodischen Ansatz in der Kommunikation, wie das Schreiben von Briefen.",Das Museum präsentierte einen altmodischen Ansatz zur Bildung mit antiken Schreibtischen und Tafeln.,גישה ישנה-ישנה,"הוא מעדיף גישה ישנה לתקשורת, כמו כתיבת מכתבים.",המוזיאון הציג גישה ישנה לחינוך עם שולחנות עתיקים ולוחות שחורים.
on a silver platter,to get something without having to work for it,He [[served it on a silver platter]] by doing all the work for her,The waiter [[served it on a silver platter]] to impress the guests,He served it on a silver platter by doing all the work for her,The waiter served it on a silver platter to impress the guests,served it on a silver platter,servierte es auf einem Silbertablett,"Er servierte es auf einem Silbertablett, indem er die ganze Arbeit für sie erledigte.","Der Kellner servierte es auf einem Silbertablett, um die Gäste zu beeindrucken.",הגישו את זה על מגש כסף,הוא שירת את זה על מגש כסף על ידי עשיית כל העבודה עבורה.,המלצר הגיש את זה על מגש כסף כדי להרשים את האורחים.
on its knees,something that is in a very weak situation or on the verge of failure,"After the economic crisis, [[the city was on its knees]] and struggling to recover","In the art installation, [[the city was on its knees]] as the artist had created a miniature version of it, resting on two large sculptures of human knees","After the economic crisis, the city was on its knees and struggling to recover","In the art installation, the city was on its knees as the artist had created a miniature version of it, resting on two large sculptures of human knees",the city was on its knees,Die Stadt war am Boden.,Nach der Wirtschaftskrise lag die Stadt am Boden und kämpfte um ihre Erholung.,"In der Kunstinstallation kniete die Stadt, da der Künstler eine Miniaturversion davon geschaffen hatte, die auf zwei großen Skulpturen menschlicher Knie ruhte.",העיר הייתה כבויה על ברכיה.,"אחרי המשבר הכלכלי, העיר הייתה על ברכיה ומאבקת להתאושש.","במיצב האמנות, העיר הייתה כפופה על ברכיים כאשר האמן יצר גרסה ממוזערת שלה, מנוחה על שתי פסלוני ברכי אנוש."
on pins and needles,being anxious or nervous,"While anticipating the exam results, we were [[waiting on pins and needles]]","During the acupressure therapy session, she was [[waiting on pins and needles]] placed on her back","While anticipating the exam results, we were waiting on pins and needles","During the acupressure therapy session, she was waiting on pins and needles placed on her back",waiting on pins and needles,auf heißen Kohlen sitzen,"Während wir auf die Prüfungsergebnisse warteten, saßen wir auf heißen Kohlen.","Während der Akupressur-Therapiesitzung wartete sie auf Nadeln, die auf ihrem Rücken platziert wurden.",ממתין בסבלנות ובחרדה,"בזמן שציפינו לתוצאות המבחן, היינו ממתינים בציפייה ובחרדה.","במהלך הטיפול בלחץ עצבי, היא המתינה בסבלנות עם מחטים מונחות על גבה."
on the back burner,to put something (that is to be done) for later,"Due to the urgent tasks, we had to [[put it on the back burner]] for now","To simmer the sauce slowly, she [[put it on the back burner]] of the stove","Due to the urgent tasks, we had to put it on the back burner for now","To simmer the sauce slowly, she put it on the back burner of the stove",put it on the back burner,Stellen Sie es hinten an.,Aufgrund der dringenden Aufgaben mussten wir es vorerst auf Eis legen.,"Um die Sauce langsam köcheln zu lassen, stellte sie sie auf den hinteren Brenner des Herdes.",שים את זה על הכיריים האחוריות,"בגלל המשימות הדחופות, היינו חייבים להשאיר את זה לצד לעכשיו.","כדי לבשל את הרוטב באטימות, היא הניחה אותו על הכיריים בצד."
on the brink of,to be on the verge of doing something,The company was [[on the brink of something]] big when they launched their new product,"The hiker stood [[on the brink of something]] dangerous, a steep cliff",The company was on the brink of something big when they launched their new product,"The hiker stood on the brink of something dangerous, a steep cliff",on the brink of something,am Rande von etwas,"Das Unternehmen stand kurz vor etwas Großem, als es sein neues Produkt auf den Markt brachte.","Der Wanderer stand am Rande von etwas Gefährlichem, einer steilen Klippe.",על סף משהו,החברה הייתה על סף משהו גדול כשהם השיקו את המוצר החדש שלהם.,"המטייל עמד על שפת משהו מסוכן, צוק תלול."
