idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt
man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",The loyal dog is often considered [[a man's best friend]],"He wrote a book about his childhood, where he described his brother as [[a man's best friend]]",The loyal dog is often considered a man's best friend,"He wrote a book about his childhood, where he described his brother as a man's best friend",a man's best friend,Der beste Freund des Menschen.,Der treue Hund wird oft als der beste Freund des Menschen betrachtet.
mend fences,to try and improve a bad relationship with another party,"After the argument, he started [[mending fences with her]] by apologizing",The farmer spent the afternoon [[mending fences with her]] to keep the animals inside,"After the argument, he started mending fences with her by apologizing",The farmer spent the afternoon mending fences with her to keep the animals inside,mending fences with her,den Zaun mit ihr reparieren,"Nach dem Streit begann er, sich bei ihr zu entschuldigen und die Beziehung zu kitten."
miles away,unaware of the current situation,"During the meeting, her thoughts [[seemed miles away]] from the topic",The mountain peak [[seemed miles away]] from our current location,"During the meeting, her thoughts seemed miles away from the topic",The mountain peak seemed miles away from our current location,seemed miles away,schien meilenweit entfernt,Während des Treffens schienen ihre Gedanken meilenweit vom Thema entfernt zu sein.
mind your own beeswax,do not interfere into someone else's matter,"Instead of gossiping about others, focus [[on minding your own beeswax]]","While working at the apiary, concentrate [[on minding your own beeswax]] production","Instead of gossiping about others, focus on minding your own beeswax","While working at the apiary, concentrate on minding your own beeswax production",on minding your own beeswax,Sich um seine eigenen Angelegenheiten kümmern.,"Statt über andere zu tratschen, konzentriere dich darauf, dich um deine eigenen Angelegenheiten zu kümmern."
mind your own business,to look into your own matter,The neighbors [[were minding their own business]] and didn't notice the commotion next door,The entrepreneurs [[were minding their own business]] by managing their respective companies,The neighbors were minding their own business and didn't notice the commotion next door,The entrepreneurs were minding their own business by managing their respective companies,were minding their own business,Sie kümmerten sich um ihre eigenen Angelegenheiten.,Die Nachbarn kümmerten sich um ihre eigenen Angelegenheiten und bemerkten das Durcheinander nebenan nicht.
miss the boat,miss a chance,[[She missed the boat on that opportunity]] by not applying for the job in time,[[She missed the boat on that opportunity]] to take the scenic river cruise,She missed the boat on that opportunity by not applying for the job in time,She missed the boat on that opportunity to take the scenic river cruise,She missed the boat on that opportunity,Sie hat diese Gelegenheit verpasst.,"Sie hat die Gelegenheit verpasst, indem sie sich nicht rechtzeitig für den Job beworben hat."
more heat than light,to cause anger or intense reaction but doesn't clarify anything,The heated debate [[generated more heat than light]] and left everyone confused,The malfunctioning light bulb [[generated more heat than light]] and needed to be replaced,The heated debate generated more heat than light and left everyone confused,The malfunctioning light bulb generated more heat than light and needed to be replaced,generated more heat than light,erzeugte mehr Hitze als Licht,Die hitzige Debatte erzeugte mehr Hitze als Licht und ließ alle verwirrt zurück.
my hands are full,someone is too busy or has too much going on to be able to do or become involved with anything else,"With three projects to manage and a presentation to prepare, [[my hands are full at the moment]]","Carrying a stack of books and a cup of coffee, [[my hands are full at the moment]]","With three projects to manage and a presentation to prepare, my hands are full at the moment","Carrying a stack of books and a cup of coffee, my hands are full at the moment",my hands are full at the moment,Meine Hände sind im Moment voll.,"Mit drei Projekten zu managen und einer Präsentation vorzubereiten, habe ich im Moment alle Hände voll zu tun."
nail biter,"a situation like a close contest, which induces anxiety or tension.",The final moments of the game were [[a real nail biter]] as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was [[a real nail biter]]",The final moments of the game were a real nail biter as both teams were neck and neck,"Watching her chew on her fingers during the movie, it was clear she was a real nail biter",a real nail biter,ein echter Nagelbeißer,"Die letzten Momente des Spiels waren sehr spannend, da beide Teams gleichauf waren."
nail in the coffin,"an action/event that will help bring about the death, end, or failure of something or someone",His resignation letter [[put the final nail in the coffin]] for the company's future,The undertaker [[put the final nail in the coffin]] before lowering it into the ground,His resignation letter put the final nail in the coffin for the company's future,The undertaker put the final nail in the coffin before lowering it into the ground,put the final nail in the coffin,Den letzten Nagel in den Sarg stecken.,Sein Rücktrittsschreiben war der letzte Nagel im Sarg für die Zukunft des Unternehmens.
never looked back,"after an event which changed your life for the better, you continue to be happy with the situation","She quit her job and started her own business, and she [[never looked back after that]]",He walked away from the haunted house and [[never looked back after that]],"She quit her job and started her own business, and she never looked back after that",He walked away from the haunted house and never looked back after that,never looked back after that,Ich habe danach nie zurückgeschaut.,"Sie kündigte ihren Job und gründete ihr eigenes Unternehmen, und sie hat seitdem nie zurückgeschaut."
no spring chicken,Someone who's no longer young.,He realized he was [[not a spring chicken anymore]] when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was [[not a spring chicken anymore]] as it had grown quite large,He realized he was not a spring chicken anymore when he couldn't keep up with the younger athletes,The farmer confirmed that the hen was not a spring chicken anymore as it had grown quite large,not a spring chicken anymore,kein Frühlingshuhn mehr,"Er erkannte, dass er kein junger Hüpfer mehr war, als er nicht mehr mit den jüngeren Athleten mithalten konnte."
