idiom,meaning,intended_ambiguous,maxvote_ambiguous,intended_figurative,maxvote_figurative,intended_literal,maxvote_literal,annotations_ambiguous,annotations_figurative,annotations_literal,well_formed,maxvote - for sort
last resort,the last thing you would do if you were desperate and all other courses of action had failed,I had to turn to a last resort,ambiguous,I had to turn to a last resort as searching for a new job became too overwhelming,figurative,I had to turn to a last resort when my other vacation spots were fully booked,literal,"['ambiguous', 'literal', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
lead astray,make someone act or think in a wrong or foolish manner.,She was led astray,figurative,She was led astray by his promises of fame and fortune,figurative,She was led astray because she had no sense of direction,literal,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']","['ambiguous', 'literal', 'literal']",FALSE,figurative : figurative : literal
lean towards,to be interested in something,They leaned towards the solution,figurative,They leaned towards the solution by including more options,figurative,They leaned towards the solution because they got too close to it,literal,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",FALSE,figurative : figurative : literal
leaps and bounds,progress very quickly,Their progress has grown by leaps and bounds,figurative,Their progress has grown by leaps and bounds since they found the right mentor,figurative,Their progress has grown by leaps and bounds since they increased the number of hours they spend studying,figurative,"['ambiguous', 'figurative', 'figurative']","['figurative', 'figurative', 'literal']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
learn to walk before you run,to take smaller steps initially,He learned to walk before he ran,ambiguous,He learned to walk before he ran by starting small and slowly expanding his capabilities,figurative,He learned to walk before he ran by taking practice steps until he could run,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
leave at the altar,decide not to marry someone at the very last moment,Alan left her at the altar,ambiguous,Alan left her at the altar when he called off their wedding,figurative,Alan left her at the altar by escaping through the back door,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
leave no stone unturned,do everything that is possible in order to achieve something,He left no stone unturned,ambiguous,He left no stone unturned while investigating the case,figurative,He left no stone unturned while digging in the garden,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
leg up,give or receive assistance to achieve a goal,He gave me a leg up,ambiguous,He gave me a leg up and helped me land my dream job,figurative,He gave me a leg up by literally helping me get on my horse,literal,"['ambiguous', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,We should let sleeping dogs lie,ambiguous,We should let sleeping dogs lie and not discuss the matter any further,figurative,We should let sleeping dogs lie and not disturb them while they rest,literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
let the cat out of the bag,to let a secret out in the open,She let the cat out of the bag,ambiguous,She let the cat out of the bag and exposed the secret plan to the public,figurative,She let the cat out of the bag and the cat ran away,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
lick his wounds,"to try to recover your confidence or spirit after a defeat, failure or disappointment",He was licking his wounds,ambiguous,He was licking his wounds after the loss in the election,figurative,He was licking his wounds after he fell off his bike,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'literal']",FALSE,ambiguous : figurative : ambiguous
lick your lips,to show that you're excited about something and are eager for it to happen,He licked his lips,ambiguous,He licked his lips in anticipation of the delicious meal that was about to come,ambiguous,He licked his lips to moisten them,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
lie low,"To go out of sight, usually after having done something bad.",He decided to lie low,ambiguous,He decided to lie low and not draw attention to himself,ambiguous,He decided to lie low on the ground,ambiguous,"['ambiguous', 'ambiguous', 'ambiguous']","['ambiguous', 'ambiguous', 'figurative']","['ambiguous', 'ambiguous', 'literal']",FALSE,ambiguous : ambiguous : ambiguous
lights are on but nobody is home,used to describe a stupid person.,His lights are on but nobody is home,ambiguous,His lights are on but nobody is home; it's like he's unaware of his surroundings,figurative,His lights are on but nobody is home; he must have gone out,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
line in the sand,a boundary beyond which one cannot proceed without consequences,He drew a line in the sand,ambiguous,He drew a line in the sand when it came to the issue of whether to stay with his current job,figurative,He drew a line in the sand so that he could see it from across the beach,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
live at rack and manger,in between plenty and abundance,I've been living at rack and manger,ambiguous,"I've been living at rack and manger, meaning I care very little and take whatever comes as it is",figurative,I've been living at rack and manger since it's the only option I have,figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['ambiguous', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
loaves and fishes,done for material benefits,She collected the loaves and fishes,ambiguous,"She collected the loaves and fishes from everyone and with her faith, multiplied them many times",ambiguous,She collected the loaves and fishes and brought them to feed the townspeople,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['literal', 'ambiguous', 'figurative']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
long in the tooth,To get too old for something.,He is getting long in the tooth,ambiguous,He is getting long in the tooth as he grows older,figurative,He is getting long in the tooth lately due to the gum recession,literal,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
long run,far away in the future,It will help in the long run,figurative,"It will help in the long run, even though it may cause difficulties in the short term",figurative,"It will help in the long run, even if it takes years to become productive",figurative,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"He looked before he leapt"" ",ambiguous,He looked before he leapt and decided to wait before taking a risky decision,figurative,He looked before he leapt and checked the pool was deep enough before jumping in,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
look on the bright side,always try to see the good things even in bad situations,You should look on the bright side,ambiguous,You should look on the bright side of things and try to focus on the positives,figurative,You should look on the bright side of the room and you'll see a window,literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
looked through colored glasses,to look the things not as they are; having a heavily biased worldview,I looked through colored glasses,ambiguous,I looked through colored glasses and misunderstood the whole situation,figurative,I looked through colored glasses and enjoyed the vibrant scenery,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
