idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt,p_l_de_gpt,p_a_he_gpt,p_f_he_gpt
pass on the baton,give responsibility for something important to another person.,The retiring CEO [[passed on the baton to her]] as the new leader of the company,"During the relay race, he [[passed on the baton to her]] for the next lap",The retiring CEO passed on the baton to her as the new leader of the company,"During the relay race, he passed on the baton to her for the next lap",passed on the baton to her,gab ihr den Staffelstab weiter,Der scheidende CEO übergab ihr den Staffelstab als neue Führungskraft des Unternehmens.,Während des Staffellaufs gab er ihr den Staffelstab für die nächste Runde weiter.,העבירה את הבטון אליה.,"המנכ""ל המתאזן מסר את המקל לה כמנהלת החדשה של החברה."
pass the buck,passing blame to another person,"He didn't want to take responsibility, so he [[passed the buck to her]]",He handed her a dollar bill and [[passed the buck to her]],"He didn't want to take responsibility, so he passed the buck to her",He handed her a dollar bill and passed the buck to her,passed the buck to her,Er hat ihr die Verantwortung zugeschoben.,"Er wollte keine Verantwortung übernehmen, also schob er es auf sie ab.",Er gab ihr einen Dollar-Schein und schob die Verantwortung auf sie.,העביר את האחריות אליה.,"הוא לא רצה לקחת אחריות, ולכן העביר את המטבע לה."
pass the torch,to pass on the responsibility,The retiring CEO [[passed the torch to her]] as the new leader of the company,"During the relay race, he [[passed the torch to her]] for the next lap",The retiring CEO passed the torch to her as the new leader of the company,"During the relay race, he passed the torch to her for the next lap",passed the torch to her,gab ihr die Fackel weiter,Der scheidende CEO übergab ihr die Fackel als neue Führungskraft des Unternehmens.,Während des Staffellaufs gab er ihr die Fackel für die nächste Runde weiter.,העברתי את המשואה אליה.,"המנכ""ל המתאזן מסר את המקל לה כמנהלת החדשה של החברה."
pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,His plan to become a millionaire overnight was just [[a pie in the sky]],The artist painted [[a pie in the sky]] to represent the whimsical nature of dreams,His plan to become a millionaire overnight was just a pie in the sky,The artist painted a pie in the sky to represent the whimsical nature of dreams,a pie in the sky,eine Luftschloss-Idee,"Sein Plan, über Nacht zum Millionär zu werden, war nur eine Luftnummer.","Der Künstler malte einen Kuchen am Himmel, um die verspielte Natur von Träumen darzustellen.",עוגה בשמיים,התוכנית שלו להפוך למיליונר בלילה הייתה רק פאי בשמיים.
piece of work,"a complex, tricky, or odd person","He was [[a real piece of work]], always causing trouble and stirring up drama","The sculpture she created was [[a real piece of work]], showcasing her artistic talent","He was a real piece of work, always causing trouble and stirring up drama","The sculpture she created was a real piece of work, showcasing her artistic talent",a real piece of work,Ein echtes Stück Arbeit.,"Er war ein echtes Stück Arbeit, verursachte immer Ärger und schürte Drama.","Die Skulptur, die sie geschaffen hat, war ein echtes Kunstwerk und zeigte ihr künstlerisches Talent.",חתיכת עבודה אמיתית,"הוא היה יצירה אמיתית, תמיד גורם לבעיות ומערבב את הדרמה."
pipe down,to take to one or more notches down to its current standard,The teacher [[told them to pipe down]] when they were being too loud,The plumber [[told them to pipe down]] the water pressure to avoid leaks,The teacher told them to pipe down when they were being too loud,The plumber told them to pipe down the water pressure to avoid leaks,told them to pipe down,"Sagte ihnen, sie sollen leiser sein.","Der Lehrer sagte ihnen, sie sollten leiser sein, als sie zu laut waren.","Der Klempner sagte ihnen, den Wasserdruck zu reduzieren, um Lecks zu vermeiden.",אמרתי להם להשתק.,המורה אמר להם להפסיק להיות רועשים כשהם היו רעשנים מדי.
play cat and mouse,to play with or tease someone,The detective [[played cat and mouse]] with the suspect to get a confession,The children [[played cat and mouse]] by pretending to be animals in their game,The detective played cat and mouse with the suspect to get a confession,The children played cat and mouse by pretending to be animals in their game,played cat and mouse,gespielt Katz und Maus,"Der Detektiv spielte Katz und Maus mit dem Verdächtigen, um ein Geständnis zu bekommen.","Die Kinder spielten Katz und Maus, indem sie in ihrem Spiel vorgaben, Tiere zu sein.",שיחק חתול ועכבר,הבלש שיחק חתול ועכבר עם החשוד כדי לקבל הודאה.
playing second fiddle,to play a secondary or minor role with regards to someone else,He didn't like [[playing second fiddle to her]] in the company hierarchy,"In the orchestra, he was [[playing second fiddle to her]] during the performance",He didn't like playing second fiddle to her in the company hierarchy,"In the orchestra, he was playing second fiddle to her during the performance",playing second fiddle to her,zweite Geige spielen für sie,"Er mochte es nicht, in der Hierarchie des Unternehmens hinter ihr zu stehen.",Im Orchester spielte er während der Aufführung die zweite Geige im Vergleich zu ihr.,מנגן כינור שני לה.,הוא לא אהב לשחק בתור משנה לה בהיררכיית החברה.
plays with fire,people who take unnecessary risks or behave in a dangerous way,[[She plays with fire]] by constantly challenging her boss 's authority,"As a professional fire performer, [[she plays with fire]] during her shows",She plays with fire by constantly challenging her boss 's authority,"As a professional fire performer, she plays with fire during her shows",She plays with fire,Sie spielt mit Feuer.,"Sie spielt mit dem Feuer, indem sie ständig die Autorität ihres Chefs herausfordert.",Als professionelle Feuerkünstlerin spielt sie während ihrer Shows mit Feuer.,היא משחקת עם אש,היא משחקת עם האש על ידי אתגרים קבועים לרשות המנהל שלה.
prick up ears,to start paying attention,"When the speaker mentioned a new opportunity, the audience [[pricked up their ears]]",The dog [[pricked up their ears]] when they heard a strange noise outside,"When the speaker mentioned a new opportunity, the audience pricked up their ears",The dog pricked up their ears when they heard a strange noise outside,pricked up their ears,spitzten ihre Ohren,"Als der Redner eine neue Gelegenheit erwähnte, spitzte das Publikum die Ohren.","Der Hund spitzte die Ohren, als er draußen ein seltsames Geräusch hörte.",הם הקשיבו בעניינם,"כאשר המדבר התייחס להזדמנות חדשה, הקהל התעורר."
pull a rabbit out of the hat,do something unexpected or surprising,Our team [[pulled a rabbit out of the hat]] by winning the game in the last minute,The magician [[pulled a rabbit out of the hat]] during his performance,Our team pulled a rabbit out of the hat by winning the game in the last minute,The magician pulled a rabbit out of the hat during his performance,pulled a rabbit out of the hat,zauberte einen Hasen aus dem Hut,Unser Team hat in letzter Minute das Spiel gewonnen und damit eine Überraschung geschafft.,Der Magier zog während seiner Vorstellung einen Hasen aus dem Hut.,משכתי ארנב מהכובע,הצוות שלנו הצליח להפתיע עם ניצחון בדקה האחרונה.
pull leg,tease someone,"When he told me I won the lottery, I thought he [[was pulling my leg]]","During the therapy session, the therapist [[was pulling my leg]] to stretch my muscles","When he told me I won the lottery, I thought he was pulling my leg","During the therapy session, the therapist was pulling my leg to stretch my muscles",was pulling my leg,"""zog mir das Bein""","Als er mir sagte, dass ich die Lotterie gewonnen habe, dachte ich, er zieht meinen Arm.","Während der Therapiesitzung zog der Therapeut mein Bein, um meine Muskeln zu dehnen.","גרם לי לחשוב שהוא מדבר ברצינות, אבל בסוף התברר שהוא עשה לי כיף.","כשהוא אמר לי שזכיתי בגרלה, חשבתי שהוא משחק איתי."
pull the plug,to kill or discontinue,"Due to budget constraints, the management decided to [[pull the plug on the project]]","To save electricity, she decided to [[pull the plug on the project]]or's power cord","Due to budget constraints, the management decided to pull the plug on the project","To save electricity, she decided to pull the plug on the projector's power cord",pull the plug on the project,Ziehen Sie den Stecker aus dem Projekt.,"Aufgrund von Budgetbeschränkungen hat die Geschäftsführung beschlossen, das Projekt abzubrechen.","Um Strom zu sparen, entschied sie sich, den Stecker des Projektors aus der Steckdose zu ziehen.",משוך את התקע על הפרויקט.,"בגלל הגבלות בתקציב, ההנהלה החליטה לסיים את הפרויקט."
