idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt
play cat and mouse,to play with or tease someone,The detective [[played cat and mouse]] with the suspect to get a confession,The children [[played cat and mouse]] by pretending to be animals in their game,The detective played cat and mouse with the suspect to get a confession,The children played cat and mouse by pretending to be animals in their game,played cat and mouse,"A gyerekek macska-egér játékot játszottak, állatoknak álcázva magukat a játékban."
playing second fiddle,to play a secondary or minor role with regards to someone else,He didn't like [[playing second fiddle to her]] in the company hierarchy,"In the orchestra, he was [[playing second fiddle to her]] during the performance",He didn't like playing second fiddle to her in the company hierarchy,"In the orchestra, he was playing second fiddle to her during the performance",playing second fiddle to her,Az előadás alatt az zenekarban második hegedűt játszott neki.
plays with fire,people who take unnecessary risks or behave in a dangerous way,[[She plays with fire]] by constantly challenging her boss 's authority,"As a professional fire performer, [[she plays with fire]] during her shows",She plays with fire by constantly challenging her boss 's authority,"As a professional fire performer, she plays with fire during her shows",She plays with fire,"Mint szakmai tűzművész, a műsorai során tűzzel játszik."
prick up ears,to start paying attention,"When the speaker mentioned a new opportunity, the audience [[pricked up their ears]]",The dog [[pricked up their ears]] when they heard a strange noise outside,"When the speaker mentioned a new opportunity, the audience pricked up their ears",The dog pricked up their ears when they heard a strange noise outside,pricked up their ears,"A kutya felpattant a fülével, amikor különös zajt hallott kint."
pull a rabbit out of the hat,do something unexpected or surprising,Our team [[pulled a rabbit out of the hat]] by winning the game in the last minute,The magician [[pulled a rabbit out of the hat]] during his performance,Our team pulled a rabbit out of the hat by winning the game in the last minute,The magician pulled a rabbit out of the hat during his performance,pulled a rabbit out of the hat,A varázsló előadása közben egy nyulat húzott ki a kalapból.
pull leg,tease someone,"When he told me I won the lottery, I thought he [[was pulling my leg]]","During the therapy session, the therapist [[was pulling my leg]] to stretch my muscles","When he told me I won the lottery, I thought he was pulling my leg","During the therapy session, the therapist was pulling my leg to stretch my muscles",was pulling my leg,"A terápiás ülés során a terapeuta húzta a lábam, hogy nyújtsa az izmaimat."
pull the plug,to kill or discontinue,"Due to budget constraints, the management decided to [[pull the plug on the project]]","To save electricity, she decided to [[pull the plug on the project]]or's power cord","Due to budget constraints, the management decided to pull the plug on the project","To save electricity, she decided to pull the plug on the projector's power cord",pull the plug on the project,"Az áram megtakarítása érdekében úgy döntött, hogy kihúzza a vetítő áramkábelét."
pull the wool over eyes,to deceive someone,[[They pulled the wool over her eyes]] by pretending to be a wealthy businessman,"During the surprise party preparations, [[they pulled the wool over her eyes]] with a blindfold",They pulled the wool over her eyes by pretending to be a wealthy businessman,"During the surprise party preparations, they pulled the wool over her eyes with a blindfold",They pulled the wool over her eyes,"A meglepetésbuli előkészületei során bekötötték a szemét, hogy ne tudja, mi történik."
pull your socks up,to be determined to work very hard,"If you want to pass the exam, you need [[to pull your socks up]] and study harder","Before putting on your shoes, don't forget [[to pull your socks up]]","If you want to pass the exam, you need to pull your socks up and study harder","Before putting on your shoes, don't forget to pull your socks up",to pull your socks up,"Mielőtt felhúznád a cipődet, ne felejtsd el felhúzni a zoknidat."
push the boat out,celebrate; enjoy oneself.,"For her birthday, [[we pushed the boat out]] and threw a huge party",[[We pushed the boat out]] into the water to start our fishing trip,"For her birthday, we pushed the boat out and threw a huge party",We pushed the boat out into the water to start our fishing trip,we pushed the boat out,"Kihajóztattuk a hajót a vízre, hogy elkezdjük a horgászutunkat."
