idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt
knee jerk reaction,an automatic response to something,His sudden outburst was [[a knee jerk reaction to the news]] of the company's bankruptcy,"The doctor tapped his patient's leg, causing [[a knee jerk reaction to the news]] of the reflex hammer",His sudden outburst was a knee jerk reaction to the news of the company's bankruptcy,"The doctor tapped his patient's leg, causing a knee jerk reaction to the news of the reflex hammer",a knee jerk reaction to the news,"A doktor megkopogtatta a betege lábát, ami a reflexkalapács hírére térkép reflexet váltott ki.",뉴스에 대한 무조건적인 반응,그의 갑작스러운 폭발은 회사 파산 소식에 대한 무의식적 반응이었다.,의사는 환자의 다리를 두드려 반사망치의 소식에 무릎 반사 반응을 일으켰다.,Su repentino estallido fue una reacción impulsiva a la noticia de la bancarrota de la empresa.,"El médico golpeó la pierna de su paciente, causando una reacción de reflejo de rodilla ante la noticia del martillo de reflejos.",ìdí tí ó bẹ̀rẹ̀ bí ìròhìn.,Iwọntunwọn rẹ ni o ṣe nitori iṣẹju ti o ṣe fun ọ nipa ẹrọ aṣilọkan ẹgbẹ.
knock on wood,tap knuckle on wood in order to avoid bad luck,"Hoping for good luck, [[she knocked on wood]] before the big presentation","To test the sturdiness of the table, [[she knocked on wood]]","Hoping for good luck, she knocked on wood before the big presentation","To test the sturdiness of the table, she knocked on wood",she knocked on wood,Az asztal ellenállóságának tesztelése érdekében kopogott a fafelületen.,그녀는 나무를 두드렸다.,"큰 발표 전에 운이 좋기를 바라며, 그녀는 나무를 두드렸다.",테이블의 튼튼함을 시험하기 위해 그녀는 나무를 두드렸다.,"Esperando tener buena suerte, tocó madera antes de la gran presentación.","Para probar la solidez de la mesa, ella golpeó la madera.",O ti tẹ igi.,"Nítorí àìrí tí ó fẹ́ jẹ́ ìdíléyìn tó bí, ó tẹ́lẹ̀ fún ìdíléyìn nípa ìdíléyìn tó ní ìdíléyìn."
know the ropes,to know all the ways and means to get something done,"Having worked there for years, [[he knew the ropes well]] and could handle any task","As an experienced sailor, [[he knew the ropes well]] and could tie any knot","Having worked there for years, he knew the ropes well and could handle any task","As an experienced sailor, he knew the ropes well and could tie any knot",he knew the ropes well,"Mint tapasztalt tengerész, jól ismerte a köteleket és bármilyen csomót meg tudott kötni.",그는 그 일에 능숙했다.,"그가 그곳에서 여러 해 일한 덕분에, 그는 그 일의 모든 것을 잘 알고 어떤 일이든 처리할 수 있었다.","경험이 풍부한 선원으로써, 그는 줄을 잘 알고 어떤 매듭이든 묶을 수 있었다.","Habiendo trabajado allí durante años, conocía bien los entresijos y podía manejar cualquier tarea.","Como marinero experimentado, conocía bien las cuerdas y podía atar cualquier nudo.",O mo awọn ọna ti o dara ju.,"Nitori ti o ti o fi sile ni ojojumo, o mo awon ohun ti o wa ni ibeere yii daadaa ati o le se ise kan ko ba ni."
know which side one's bread is buttered,to be cognizant of where one's interests lie in a given situation.,"He always supports the boss's decisions, showing that he [[knows which side his bread is buttered]]",He carefully observed the sandwich and [[knows which side his bread is buttered]] to avoid getting his hands greasy,"He always supports the boss's decisions, showing that he knows which side his bread is buttered",He carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,knows which side his bread is buttered,"Ő óvatosan megfigyelte a szendvicset, és tudja, hogy melyik oldalán van a vaj, hogy elkerülje, hogy zsírosak legyenek a kezei.",그는 빵이 바른 쪽을 안다.,"그는 항상 상사의 결정을 지지하며, 그가 빵을 바른 쪽을 안다는 것을 보여줍니다.",그는 샌드위치를 주의 깊게 관찰하고 손이 끈적이지 않도록 버터가 바른 쪽을 알고 있습니다.,"Él siempre apoya las decisiones del jefe, demostrando que sabe de qué lado está su pan untado.",Él observó cuidadosamente el sándwich y sabe de qué lado está untada la mantequilla para evitar ensuciarse las manos.,ko mọ pe ọrọ rẹ ni ń ṣe àkàrà àti ògèdè.,"O daju ni o fi owo bose gba awon ohun to bo se, nitori omo owo yii o mo pe owo eniyan ni o je."
knowing which way the wind blows,this means that you should know how things are developing and be prepared for the future,He made a wise decision by [[knowing which way the wind blows]] in the company,"As an experienced sailor, he was skilled at [[knowing which way the wind blows]]",He made a wise decision by knowing which way the wind blows in the company,"As an experienced sailor, he was skilled at knowing which way the wind blows",knowing which way the wind blows,"Tapasztalt vitorlázóként jól tudta, hogy melyik irányból fúj a szél.",바람이 어느 방향으로 불어오는지 알기,그는 회사에서 바람이 어느 방향으로 불어가는지 알아내어 현명한 결정을 내렸습니다.,"경험이 풍부한 선원으로서, 그는 바람이 어느 방향으로 불어오는지 잘 알고 있었다.",Él tomó una decisión sabia al saber hacia dónde sopla el viento en la empresa.,"Como marinero experimentado, era habilidoso en saber en qué dirección sopla el viento.",ni agbara ti o ba nwo ori omi.,O ti gbe ogo fun ise yii nitori o mo pe owo ojo kan ni o wa ninu ise yii.
lead astray,make someone act or think in a wrong or foolish manner.,The false information [[led them astray]] in their investigation,The broken compass [[led them astray]] in the dense forest,The false information led them astray in their investigation,The broken compass led them astray in the dense forest,led them astray,A törött iránytű eltévesztette őket a sűrű erdőben.,그들을 잘못된 길로 이끌었다.,거짓 정보는 그들의 조사를 오도하게 만들었다.,부서진 나침반으로 인해 그들은 우거진 숲에서 길을 잃었다.,La información falsa los desvió en su investigación.,La brújula rota los llevó por mal camino en el denso bosque.,ni won lọwọ wọn.,Iwọn ọrọ alágbèdẹ ti ṣe wọn lọwọ ni ilana wọn.
lean towards,to be interested in something,"After considering the pros and cons, she [[was leaning towards that option]]","While standing near the table, he [[was leaning towards that option]] to get a closer look","After considering the pros and cons, she was leaning towards that option","While standing near the table, he was leaning towards that option to get a closer look",was leaning towards that option,"Állva az asztal mellett, azon opció felé hajolt, hogy közelebbről megnézze.",그 옵션을 향해 기울고 있었다.,"장단점을 고려한 후, 그녀는 그 옵션을 향해 기울고 있었다.","그는 테이블 근처에 서 있으면서, 더 자세히 보기 위해 그 옵션 쪽으로 기울어졌다.","Después de considerar los pros y los contras, ella estaba inclinándose hacia esa opción.","Mientras estaba parado cerca de la mesa, se inclinaba hacia esa opción para ver más de cerca.",O ti kọjẹ si iranṣẹ yii.,"Lẹhin ti o ṣe iṣẹdaṣẹ, o ti wa ni ọrọ yii."
leaps and bounds,progress very quickly,"After attending the workshop, her skills [[made progress in leaps and bounds]]",The kangaroo [[made progress in leaps and bounds]] across the field,"After attending the workshop, her skills made progress in leaps and bounds",The kangaroo made progress in leaps and bounds across the field,made progress in leaps and bounds,A kenguru ugrálva és hatalmas léptekkel haladt át a mezőn.,도약적인 발전을 이루었다.,"워크샵에 참석한 후, 그녀의 기술은 급격히 발전했다.",캥거루는 들을 뛰어넘으며 큰 발전을 이루었다.,"Después de asistir al taller, sus habilidades progresaron a pasos agigantados.",El canguro hizo progreso a saltos y brincos a través del campo.,ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe ọrọ kan ni ẹ̀kọ̀ Yoruba: ti ṣe,"Lẹhin ti o ṣe iṣẹ iṣẹlẹ, awọn iṣẹ rẹ ti ṣe ọrọ àti ọrọ."
learn to walk before you run,to take smaller steps initially,You should [[learn to walk before you run]] when it comes to mastering a new skill,"As a toddler, you must [[learn to walk before you run]] to avoid falling",You should learn to walk before you run when it comes to mastering a new skill,"As a toddler, you must learn to walk before you run to avoid falling",learn to walk before you run,"Kisgyerekként először járni kell tanulnod, mielőtt futni kezdesz, hogy elkerüld a elesést.",달리기 전에 걷는 법을 배우세요.,새로운 기술을 마스터하기 위해서는 뛰기 전에 걷는 법을 배워야 합니다.,"어린 아이로서, 넘어지지 않기 위해 뛰기 전에 걷는 법을 배워야 합니다.",Deberías aprender a caminar antes de correr cuando se trata de dominar una nueva habilidad.,"Como niño pequeño, debes aprender a caminar antes de correr para evitar caídas.",maa ko o si gbe ilekun nigba ti o ba jo.,"Nítorí àwọn ìṣẹ́ tí ó bá ń kọ́, ó yẹ̀yẹ́ fún ọ̀rọ̀-àwọn tó bá wà nípa ìṣẹ́ tó bẹ̀rẹ̀."
leave at the altar,decide not to marry someone at the very last moment,[[He left her at the altar]] when he decided not to show up for their wedding,[[He left her at the altar]] to fetch the forgotten wedding rings from their car,He left her at the altar when he decided not to show up for their wedding,He left her at the altar to fetch the forgotten wedding rings from their car,He left her at the altar,"Elhagyta az oltárnál, hogy elhozza az elfelejtett esküvői gyűrűket az autójukból.",그는 그녀를 제단 앞에서 버렸다.,그는 그녀를 제단 앞에서 버렸다. 그는 결혼식에 나타나지 않기로 결정했기 때문이다.,그는 그녀를 제단 앞에서 떠나서 자신들의 차에서 잊어버린 결혼 반지를 가져오기 위해 나갔다.,Él la dejó plantada en el altar cuando decidió no presentarse a su boda.,Él la dejó en el altar para ir a buscar los anillos de boda olvidados en su coche.,O ti fi ara e si ile-ikoyi.,O ti fi ara e sile ni ile-ikoyi ni o ba nira won ni o ko si wa ni won omo-ale.
