idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt
pass away,die,Our beloved grandmother [[passed away peacefully]] in her sleep,"The storm [[passed away peacefully]], leaving a calm and clear sky",Our beloved grandmother passed away peacefully in her sleep,"The storm passed away peacefully, leaving a calm and clear sky",passed away peacefully,"Az vihar békésen elvonult, nyugodt és tiszta égboltot hagyva maga után.",평화롭게 세상을 떠났습니다.,우리 사랑하는 할머니께서 평화롭게 잠들어 돌아가셨습니다.
pass on the baton,give responsibility for something important to another person.,The retiring CEO [[passed on the baton to her]] as the new leader of the company,"During the relay race, he [[passed on the baton to her]] for the next lap",The retiring CEO passed on the baton to her as the new leader of the company,"During the relay race, he passed on the baton to her for the next lap",passed on the baton to her,A váltófutás során átadta neki a stafétát a következő körre.,그녀에게 배턴을 넘겼다.,퇴임하는 CEO는 회사의 새로운 리더로 그녀에게 지팡이를 넘겨주었다.
pass the buck,passing blame to another person,"He didn't want to take responsibility, so he [[passed the buck to her]]",He handed her a dollar bill and [[passed the buck to her]],"He didn't want to take responsibility, so he passed the buck to her",He handed her a dollar bill and passed the buck to her,passed the buck to her,Átnyújtott neki egy egydollárost és átpasszolta neki a felelősséget.,그녀에게 책임을 전가했다.,그는 책임을 지기 싫어서 그녀에게 책임을 전가했다.
pass the torch,to pass on the responsibility,The retiring CEO [[passed the torch to her]] as the new leader of the company,"During the relay race, he [[passed the torch to her]] for the next lap",The retiring CEO passed the torch to her as the new leader of the company,"During the relay race, he passed the torch to her for the next lap",passed the torch to her,A váltófutás során átadta neki a fáklyát a következő körre.,그녀에게 횃불을 넘겼다.,퇴임하는 CEO가 그녀에게 회사의 새로운 리더로서 횃불을 넘겼다.
pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,His plan to become a millionaire overnight was just [[a pie in the sky]],The artist painted [[a pie in the sky]] to represent the whimsical nature of dreams,His plan to become a millionaire overnight was just a pie in the sky,The artist painted a pie in the sky to represent the whimsical nature of dreams,a pie in the sky,"Az művész egy álompitont festett, hogy kifejezze az álmok szeszélyes természetét.",하늘에 떠 있는 파이,그의 밤새 백만장자가 되는 계획은 하늘의 파이에 불과했다.
piece of work,"a complex, tricky, or odd person","He was [[a real piece of work]], always causing trouble and stirring up drama","The sculpture she created was [[a real piece of work]], showcasing her artistic talent","He was a real piece of work, always causing trouble and stirring up drama","The sculpture she created was a real piece of work, showcasing her artistic talent",a real piece of work,"Az általa alkotott szobor valóban remekmű volt, amely bemutatta művészi tehetségét.",진짜 대단한 일,그는 정말 문제를 일으키고 드라마를 일으키는 진짜 문제아였다.
pipe down,to take to one or more notches down to its current standard,The teacher [[told them to pipe down]] when they were being too loud,The plumber [[told them to pipe down]] the water pressure to avoid leaks,The teacher told them to pipe down when they were being too loud,The plumber told them to pipe down the water pressure to avoid leaks,told them to pipe down,"A vízvezeték-szerelő azt mondta nekik, hogy csökkentsék a víznyomást, hogy elkerüljék a szivárgásokat.",그들에게 조용히 하라고 말했다.,선생님은 그들이 너무 시끄러울 때 조용히 하라고 말했다.
play cat and mouse,to play with or tease someone,The detective [[played cat and mouse]] with the suspect to get a confession,The children [[played cat and mouse]] by pretending to be animals in their game,The detective played cat and mouse with the suspect to get a confession,The children played cat and mouse by pretending to be animals in their game,played cat and mouse,"A gyerekek macska-egér játékot játszottak, állatoknak álcázva magukat a játékban.",고양이와 쥐 놀이를 했다.,혐의자로 의심되는 사람과 형사는 고배를 빚어 자백을 얻으려고 했다.
playing second fiddle,to play a secondary or minor role with regards to someone else,He didn't like [[playing second fiddle to her]] in the company hierarchy,"In the orchestra, he was [[playing second fiddle to her]] during the performance",He didn't like playing second fiddle to her in the company hierarchy,"In the orchestra, he was playing second fiddle to her during the performance",playing second fiddle to her,Az előadás alatt az zenekarban második hegedűt játszott neki.,그녀의 뒤에서 둘째 바이올린을 연주하다.,그는 회사 조직도에서 그녀의 뒤따르는 역할을 좋아하지 않았다.
plays with fire,people who take unnecessary risks or behave in a dangerous way,[[She plays with fire]] by constantly challenging her boss 's authority,"As a professional fire performer, [[she plays with fire]] during her shows",She plays with fire by constantly challenging her boss 's authority,"As a professional fire performer, she plays with fire during her shows",She plays with fire,"Mint szakmai tűzművész, a műsorai során tűzzel játszik.",그녀는 불과 놀아요.,그녀는 상사의 권위에 지속적으로 도전하여 불을 놀이합니다.
prick up ears,to start paying attention,"When the speaker mentioned a new opportunity, the audience [[pricked up their ears]]",The dog [[pricked up their ears]] when they heard a strange noise outside,"When the speaker mentioned a new opportunity, the audience pricked up their ears",The dog pricked up their ears when they heard a strange noise outside,pricked up their ears,"A kutya felpattant a fülével, amikor különös zajt hallott kint.",귀를 세웠다.,연설자가 새로운 기회에 대해 언급하자 청중들은 귀를 쫑긋 세웠다.
pull a rabbit out of the hat,do something unexpected or surprising,Our team [[pulled a rabbit out of the hat]] by winning the game in the last minute,The magician [[pulled a rabbit out of the hat]] during his performance,Our team pulled a rabbit out of the hat by winning the game in the last minute,The magician pulled a rabbit out of the hat during his performance,pulled a rabbit out of the hat,A varázsló előadása közben egy nyulat húzott ki a kalapból.,모자에서 토끼를 꺼냈다.,우리 팀은 마지막 분에 경기에서 이겨 토끼를 모자에서 꺼냈습니다.
