idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt
ups and downs,good times and bad times,"Throughout their marriage, they [[experienced ups and downs]] but remained committed","On the roller coaster, we [[experienced ups and downs]] as it twisted and turned","Throughout their marriage, they experienced ups and downs but remained committed","On the roller coaster, we experienced ups and downs as it twisted and turned",experienced ups and downs,"Az élményvasúton felfelé és lefelé haladtunk, miközben kanyarodott és fordult.",경험한 산과 내리막을 겪었습니다.
use your loaf,To tell someone to use their brain more in analysing what they are doing.,[[They used their loaf]] to solve the complex puzzle,[[They used their loaf]] of bread to make sandwiches for lunch,They used their loaf to solve the complex puzzle,They used their loaf of bread to make sandwiches for lunch,They used their loaf,Ők a kenyerüket használták szendvicsek készítéséhez ebédre.,그들은 머리를 썼다.
velvet glove,"a person who appears gentle, but is determined and inflexible underneath",The manager [[was wearing a velvet glove]] when he gently guided the team through the crisis,"At the costume party, she [[was wearing a velvet glove]] as part of her elegant outfit",The manager was wearing a velvet glove when he gently guided the team through the crisis,"At the costume party, she was wearing a velvet glove as part of her elegant outfit",was wearing a velvet glove,A jelmezbálon egy bársony kesztyűt viselt az elegáns öltözékének részeként.,벨벳 장갑을 착용하고 있었다.
voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later",His environmental concerns were [[a voice in the wilderness]] among the industrialists,"While hiking alone, she suddenly heard [[a voice in the wilderness]] and got scared",His environmental concerns were a voice in the wilderness among the industrialists,"While hiking alone, she suddenly heard a voice in the wilderness and got scared",a voice in the wilderness,"Miközben egyedül túrázott, hirtelen meghallotta egy hangot a vadonban, és megijedt.",황야 속의 목소리
vultures are circling,when something is in danger and its enemies are getting ready for the kill,"As the company's stock plummeted, [[the vultures are circling]] to buy it cheap","While observing the desert landscape, we noticed [[the vultures are circling]] above a carcass","As the company's stock plummeted, the vultures are circling to buy it cheap","While observing the desert landscape, we noticed the vultures are circling above a carcass",the vultures are circling,"Miközben a sivatagi tájat figyeltük, észrevettük, hogy a keselyűk egy tetem fölött köröznek.",독수리들이 돌고 있습니다.
wag the dog,to divert attention from something that is bad,The politician [[was wagging the dog]] by creating a diversion from the scandal,The playful puppy [[was wagging the dog]] by grabbing its tail,The politician was wagging the dog by creating a diversion from the scandal,The playful puppy was wagging the dog by grabbing its tail,was wagging the dog,A játékos kiskutya a farkát ragadva csóválta a kutyát.,개를 흔들고 있었다.
want his head on a platter,when someone makes you so angry that you want them to be punished,She was so furious with him that she [[wanted his head on a platter]],The eccentric artist [[wanted his head on a platter]] for a macabre sculpture,She was so furious with him that she wanted his head on a platter,The eccentric artist wanted his head on a platter for a macabre sculpture,wanted his head on a platter,Az excentrikus művész egy makabre szoborhoz akarta a fejét egy tálban.,그의 머리를 접시에 담아서 바라고 있었다.
wash dirty linen in public,discuss publicly matters that one should keep private,[[They washed their dirty linen in public]] by arguing about their personal issues on social media,[[They washed their dirty linen in public]] at the outdoor laundromat,They washed their dirty linen in public by arguing about their personal issues on social media,They washed their dirty linen in public at the outdoor laundromat,They washed their dirty linen in public,A piszkos ruháikat nyilvánosan mosták a szabadtéri mosodában.,그들은 자신들의 더러운 속옷을 공공장소에서 세탁했다.
wash hands of,abandon taking responsibility for someone or something,"After trying to help for months, they finally [[washed their hands of the situation]] and moved on",They [[washed their hands of the situation]] by using soap and water after touching something dirty,"After trying to help for months, they finally washed their hands of the situation and moved on",They washed their hands of the situation by using soap and water after touching something dirty,washed their hands of the situation,"Ők lemossák a kezüket a helyzetről szappannal és vízzel, miután piszkos dolgot érintettek.",그들은 상황에서 손을 씻었다.
watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",The company [[hired a watchdog]] to monitor their financial transactions,They [[hired a watchdog]] to guard their property at night,The company hired a watchdog to monitor their financial transactions,They hired a watchdog to guard their property at night,hired a watchdog,"Felvettek egy őrkutyát, hogy éjjel őrizze a tulajdonukat.",강아지를 고용했다.
went through the mill,"you experience a very difficult period, or are exposed to rough treatment",They [[went through the mill together]] during the tough times in their relationship,The wheat [[went through the mill together]] to be ground into flour,They went through the mill together during the tough times in their relationship,The wheat went through the mill together to be ground into flour,went through the mill together,"A búza együtt ment át a malmon, hogy lisztté őröljék.",함께 힘든 시기를 겪었다.
wet behind the ears,immature or poor skill,The new intern is [[still wet behind the ears]] and needs guidance,"After swimming, she was [[still wet behind the ears]] despite toweling off",The new intern is still wet behind the ears and needs guidance,"After swimming, she was still wet behind the ears despite toweling off",still wet behind the ears,"Úszás után, még mindig nedves volt a füle mögött, annak ellenére, hogy letörölte magát.",아직 귀가 새까맣다.
