idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
"frozenset({'wheel', 'shoulder', 'put'})",put [pron] shoulder to [pron] wheel,work hard and diligently to achieve a goal.,"I think of all those using this channel : – people who gave generously , of their good money ; people who gave their physical strength ; people who gave limitless time ( even their annual leave from work ) ; people who managed a little time after work ; people who baked ; people who prayed ; the member who supplied the entire plant stall ; people who counted ; the little girl who devised an amusing quiz as her ‘ channel ’ ; people who served , and often withstood the cold winds of George Street ; people who used their artistic talents for communication ; people who lovingly restored the Church afterwards ; our engineer , who invented a ‘ chair-lift ’ for us , and then , literally , put his shoulder to the wheel – and the bright spark who had fired him with the notion ; and finally and uniquely , the couple in Trinity , part of whose house is always given over to storing books so that this channel may be kept open .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'cat', 'among', 'pigeon', 'put'})",put [pron] cat among [pron] pigeons,introduce a disruptive element into a situation.,"If he translates word-for-word , he will achieve greater fidelity in one respect ( , for instance , evokes the same picture as put the cat among the pigeons ) , but to the detriment of fidelity in another respect ( is a live metaphor , while is not ) ; if , however , he puts a greater value on the latter type of fidelity , then he must sacrifice the former .",O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'hors', 'cart', 'befor', 'put'})",put [pron] cart before [pron] horse,do things in the wrong order or prioritize the wrong things.,Exclusive possession as a concept for identifying tenancies does not drive a coach and horses through the Rent Acts but rather puts the cart before the horse : a phrase used to describe the collective rights of the tenant is inappropriate as a test of whether a tenancy has in fact been created .,O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O,put the cart before the horse,to do things in the wrong order or sequence,Aren't you putting the cart before the horse in decorating your new office? You haven't even been awarded the job yet.,put the cart before the horse,doing things in a wrong manner
"frozenset({'pull', 'togeth'})",pull yourself together,regain control of your emotions and behavior.,"her husband getting killed is the end of the world and there 's , there 's nothing else sort of thing and they just it 's very sad really , I mean if you 're a young person you can quickly pull yourself together and realize that",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O,pull yourself together,to calm down and behave normally after an upsetting event,"I know its difficult to get over your loss, but try to pull yourself together and get on with life.",,
"frozenset({'pull', 'eye', 'wool'})",pull [pron] wool over [pron] eyes,deceive someone by making them believe something that is not true.,It 's hard with family to pull the wool over their eyes emotionally because they have seen you go through all sorts of things when you are growing up . ’,O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O,pull the wool over eyes,to deceive someone,I'm not as dumb as you think; don't try to pull the wool over my eyes.,,
"frozenset({'pull', 'plug'})",pull [pron] plug,end or stop something abruptly.,"With less than an hour of daylight remaining , he carried a flashlight — not that it would be of much help with the rain cascading down as if the Maya Rain God had corralled every raincloud in Central America and pulled the plugs out .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O,pull the plug,to kill or discontinue,The doctors decided to pull the plug on Uncle Bill when he stopped responding to all the treatment courses that they took.,pull the plug,prevent something from happening or continuing
"frozenset({'leg', 'pull'})",pull [pron] leg,tease someone in a playful way.,The other children pulled his leg and generally teased him about what he had seen but the child strenuously defended his story ; somehow the fun had gone out of the adventure and they decided to return home .,O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,pull leg,tease someone,Don't worry about what he said. He's just pulling your leg.,,
"frozenset({'ear', 'prick', 'up'})",prick up [pron] ears,pay close attention to something.,"But what could be worthier of my human intelligence than to discriminate between and interrelate the parts of a painting or musical composition with the concentration of a mathematician solving a problem , yet respond to them with the immediacy of a dog pricking up its ears ?",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O,prick up ears,to start paying attention,The teacher asked her student to prick up his ears when he kept on disturbing the class with silly jokes.,,
"frozenset({'press', 'time'})",pressed for time,having very little time to complete a task.,"Erm , we do work together , where we share a common agenda , and we find that we share common policy positions , and there are a lot discussions that go on about policy questions between environmental N G Os , erm , and also like any N G O that 's pressed for time and money , we work together where actually it can be justified by the results .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O,,,,,
"frozenset({'perfect', 'practic', 'make'})",practice makes perfect,repeated effort and practice leads to mastery of a skill or task.,"Now , the last thing I want to say , because I know we , our guest is here , and so presumably has collected his thoughts and is able to leap into the breach , the last thing I want to say on this is , writing articles , writing pieces , is a game , another area where practice makes perfect .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O,practice makes perfect,to keep repeating something over and over so that one can get good at that activity,The most important thing about getting better at playing a sport is to keep playing it. There is nothing like enough practice and eventually it is the practice that will make you perfect.,,
"frozenset({'question', 'pop'})",pop [pron] question,ask someone to marry you.,"As they circled over Durham Cathedral , love-struck Niall popped the question to Carol , who was celebrating her 38th birthday .",O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,pop the question,propose marriage to someone,"I heard you had a special date with Tom yesterday; so did he pop the question, then?",,
"frozenset({'poison', 'pill'})",poison pill,a strategy or action taken to make a situation or company unattractive to an unwelcome takeover.,Yeah the the way it was put to me was that the Pembroke Hall would be part of the deal er but that the Isle of Man company was not particularly enthusiastic about having the er the the the poison pill of the Pembroke Hall wrapped in with the deal cos it does not make money .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O,,,,,
"frozenset({'poetri', 'motion'})",poetry in motion,something that is graceful and beautiful in its execution.,"I am just a humble supporter who , though never blessed with the gift myself , loves the artistry and beauty of football and the poetry in motion displayed by the Athletico forward line .",O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O,,,,,
"frozenset({'justic', 'poetic'})",poetic justice,"when someone receives the consequences of their own actions, often in a way that is fitting or appropriate.","With his by now legendary disregard for anything current which was not The Smiths or his personal protégé ( the superb Easterhouse fell in his favour at this time ) , Morrissey performed ceremonial destruction with Sade , Style Council , Ultravox , Carmel , Genesis , Marilyn and , ironically enough , Blue Rondo who by this time were probably bragging about how The Smiths once supported them ; poetic justice indeed .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O,,,,,
"frozenset({'play', 'safe'})",play safe,avoid taking risks or making decisions that could have negative consequences.,"But when it comes to the ecstatically energised and demonstrative music , he either plays safe with tempi and tones down orchestral brilliance or , more alarmingly , decides to add a wealth of extra cymbal ( suspended and clashed ) , presumably in the misguided notion that more emphasis is required .",O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
"frozenset({'play', 'advoc', 'devil'})",play devil's advocate,to argue a position or opinion that one does not necessarily agree with in order to explore all sides of an issue.,"You can always defer to the "" off-stage "" higher authority ( which means you 're less likely to have a revolution on your hands ! ) ; you can seek assistance ; you can still play Devil 's Advocate ; you can co-ordinate ; bring information and , importantly , transfer responsibility to the children .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O,,,,,
