idiom,meaning,example,source,dupl,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
bricks and mortar,"a physical business or store, as opposed to an online business.","Such assets as Virgin had were almost meaningless : not the bricks and mortar so reassuring on the balance sheet , but the more nebulous assets of music and publishing copyrights tangible enough , perhaps , to people who understood the music business , and knew that at any given moment Virgin could raise millions if they so chose ; less comprehensible to a bank where customers were still greeted by frock-coated doormen .",EPIE,0,"frozenset({'brick', 'mortar'})",bricks and mortar,"a physical business or store, as opposed to an online business.","Such assets as Virgin had were almost meaningless : not the bricks and mortar so reassuring on the balance sheet , but the more nebulous assets of music and publishing copyrights tangible enough , perhaps , to people who understood the music business , and knew that at any given moment Virgin could raise millions if they so chose ; less comprehensible to a bank where customers were still greeted by frock-coated doormen .",O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
breathe [pron] last,die,"‘ and shortly after entering the office , while engaged listening to a letter which Mr. Griffiths commenced to read , concerning the Bishop 's Castle Railway , he fell back and shortly afterwards breathed his last ’ .",EPIE,0,"frozenset({'last', 'breath'})",breathe [pron] last,die,"‘ and shortly after entering the office , while engaged listening to a letter which Mr. Griffiths commenced to read , concerning the Bishop 's Castle Railway , he fell back and shortly afterwards breathed his last ’ .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O,,,,,
break up,end a romantic relationship.,"The 110 we have , had its well known make of tyres replaced at less than 10,000 miles due to sidewalls breaking up ( as have many others , with punctures from steel tyre cords penetrating the tube inside the tyre ) .",EPIE,0,"frozenset({'up', 'break'})",break up,end a romantic relationship.,"The 110 we have , had its well known make of tyres replaced at less than 10,000 miles due to sidewalls breaking up ( as have many others , with punctures from steel tyre cords penetrating the tube inside the tyre ) .",O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,,,,,
carpe diem,seize the day; make the most of the present moment.,"From one interpretative angle , Chaucer makes the axioms and ethics of the fabliau models — the availability of beautiful women and their longing for fornication ; the exaltation of practical cunning in the French fabliaux or the carpe diem theme of Dame Sirith — turn into a tale of prostitution with the deception of an undeserving husband who gains sympathy rather than scorn .",EPIE,0,"frozenset({'diem', 'carp'})",carpe diem,seize the day; make the most of the present moment.,"From one interpretative angle , Chaucer makes the axioms and ethics of the fabliau models — the availability of beautiful women and their longing for fornication ; the exaltation of practical cunning in the French fabliaux or the carpe diem theme of Dame Sirith — turn into a tale of prostitution with the deception of an undeserving husband who gains sympathy rather than scorn .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
cash cow,a business or product that generates a steady and reliable income.,The discussion of the use of the portfolio goals in chapter 4 made it quite clear that SBUs labelled ‘ stars ’ will have quite different financial profiles from ‘ cash cows ’ or ‘ dogs ’ .,EPIE,0,"frozenset({'cash', 'cow'})",cash cow,a business or product that generates a steady and reliable income.,The discussion of the use of the portfolio goals in chapter 4 made it quite clear that SBUs labelled ‘ stars ’ will have quite different financial profiles from ‘ cash cows ’ or ‘ dogs ’ .,O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O,,,,,
come true,happen as expected or hoped for.,"In the meantime , the lads bludgeon out wodges of cacophonous , shapeless noise , like ‘ Waiting For The Wolves ’ and ‘ Hope Your Dreams Come True ’ , which revel in being unlistenable squalls far away from the succinct migraine catchiness of that hit single .",EPIE,0,"frozenset({'come', 'true'})",come true,happen as expected or hoped for.,"In the meantime , the lads bludgeon out wodges of cacophonous , shapeless noise , like ‘ Waiting For The Wolves ’ and ‘ Hope Your Dreams Come True ’ , which revel in being unlistenable squalls far away from the succinct migraine catchiness of that hit single .",O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O,,,,,
come to terms with,accept and adjust to a difficult situation.,"Hack weaves objects and memorabilia from her past , the images are loaded with autobiographical references as the artist retraces the steps of her ancestors and comes to terms with her own past .",EPIE,0,"frozenset({'term', 'come'})",come to terms with,accept and adjust to a difficult situation.,"Hack weaves objects and memorabilia from her past , the images are loaded with autobiographical references as the artist retraces the steps of her ancestors and comes to terms with her own past .",O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O,,,,,
come to fruition,come to a successful conclusion.,"One suspects that it is to demonstrate what the attractions of the famous Museum Island will be when the plan favoured by the Berlin museums supremo Dube but hotly contested by many museum professionals comes to fruition , for Dube has decided that the island is to be dedicated entirely to these archaeological collections , while the fine arts all move over to the western side of the city to more modern museums .",EPIE,0,"frozenset({'come', 'fruition'})",come to fruition,come to a successful conclusion.,"One suspects that it is to demonstrate what the attractions of the famous Museum Island will be when the plan favoured by the Berlin museums supremo Dube but hotly contested by many museum professionals comes to fruition , for Dube has decided that the island is to be dedicated entirely to these archaeological collections , while the fine arts all move over to the western side of the city to more modern museums .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
come to [pron] attention,pay close attention to someone or something.,9.1.3 undertakes that it will promptly disclose to the other Parties and to the Secretary of State any facts or circumstances which come to its attention indicating or suggesting any infringement or material risk of infringement of any patent or other Intellectual Property Right of any other person not being a Party to this Agreement through the expected mode of use or exploitation of its own results or background provided always that this undertaking shall not be deemed to impose or imply any specific obligation to undertake any patent searches of intellectual property rights or make any enquiries .,EPIE,0,"frozenset({'come', 'attent'})",come to [pron] attention,pay close attention to someone or something.,9.1.3 undertakes that it will promptly disclose to the other Parties and to the Secretary of State any facts or circumstances which come to its attention indicating or suggesting any infringement or material risk of infringement of any patent or other Intellectual Property Right of any other person not being a Party to this Agreement through the expected mode of use or exploitation of its own results or background provided always that this undertaking shall not be deemed to impose or imply any specific obligation to undertake any patent searches of intellectual property rights or make any enquiries .,O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
come rain or shine,"no matter what the circumstances, something will happen.","From childhood to grave , come rain or shine , joy or sorrow , but for a miracle , you yourself would have worn such garb to keep out the cold , the heat and the rain .",EPIE,0,"frozenset({'come', 'shine', 'rain'})",come rain or shine,"no matter what the circumstances, something will happen.","From childhood to grave , come rain or shine , joy or sorrow , but for a miracle , you yourself would have worn such garb to keep out the cold , the heat and the rain .",O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
