idiom,meaning
当局者迷,those closely involved cannot see as clearly as those outside; out-standers see more than gamesters
当之无愧,be worthy of; be well qualified for
当场出丑,make a spectacle of oneself; give the whole show away on the spot
当仁不让,not decline to shoulder a responsibility; in good causes do not lag behind
当耳边风,turn a deaf ear to; take like passing wind
当务之急,urgent matter; pressing obligation
叠床架屋,pile one bed upon another or build one house on top of another; needless duplication
疏不间亲,blood is thicker than water; 
疑团莫释,dark shadows of doubt lurking in one's mind; doubts and suspicions can not be cleared up
疑心生暗鬼,suspicions create imaginary fears; a suspicious heart will see ghosts
疑神疑鬼,imagine all sorts of things; oversensitive
疲于奔命,be tired out by too much running around; be weighed down with work
疾风知劲草,"adversity is the best testing ground for moral stamina; in time of disorder, the loyal and the disloyal are revealed"
疾首蹙额,with aching head and knitted brows - abhorrence; 
疾足先得,the hasty foot gets there first; 
疾恶如仇,abhor evils or evildoers as if they were personal enemies; have an abhorrence of evil
疾言厉色,harsh words and stern looks; sudden outpourings and fierce looks
病急乱投医,try anything when in a desperate situation; turn to any doctor one can find when critically ill
病入膏肓,rotten to the core; hopeless case
病从口入,illness finds its way in by the mouth; diseases enter by the mouth
痛定思痛,recall past pains; draw a lesson from a bitter experience to heart
痛改前非,sincerely mend one's ways; reform with a keen sense of errors
痛哭流涕,cry one's heart out; wail
痛心疾首,resent or hate deeply; with bitter hatred
痛心切齿,make one burn with anger; gnash the teeth with anger
痛痒相关,care for one another's comfort and happiness; share a common lot
痴心妄想,wishful thinking; a pipe dream
痴人说梦,a fool's talk; talk fantastic nonsense
疮痍满目,"wherever one looks, there is devastation; full eyesight of devastation"
癞蛤蟆想吃天鹅肉,aspiring after something one is not worthy of; a toad lusting after a swan's flesh
癣疥之疾,not matter very much; unimportant trouble
登峰造极,reach the summit; reach the limit
登堂入室,pass through the hall into the inner chamber; reach a higher level in one's studies or become more proficient in one's profession
发奋图强,strive for national prosperity; rise in great vigor
发愤忘食,immersed in hard work one forgets to eat; in eagerness to study so as to forget food
发号施令,give order; lay off the order
发人深省,thought-provoking; make one wide awake
发扬光大,develop and enrich; foster and enhance
白璧无瑕,impeccable moral integrity; flawless white jade
白璧微瑕,a slight blemish; a flaw in a white jade
白面书生,inexperienced in life; pale-faced scholar
白头偕老,remain a devoted couple to the end of their lives; live to ripe old age in conjugal bliss
白驹过隙,time flies; time passes swiftly
白手起家,self-made; start empty-handed
白日见鬼,"see demons in broad daylight - of a strange, absurd, impossible thing; "
白日做梦,daydream; cherish a pipe dream
百步穿杨,shoot with great precision; the shots hit every time
百发百中,hit the mark every time; shoot with superb marksmanship
百废俱兴,full-scale reconstruction is under way; do everything abandoned at once
百读不厌,be worth reading a hundred times; 
百端待举,a thousand things wait to be done; numerous tasks remain to be undertaken
百年大计,a project of vital and lasting importance; an undertaking of fundamental importance for generations to come
百年好合,a harmonious union lasting a hundred years; 
百里挑一,cream of the crop; a hundred
百炼成钢,be toughened and hardened into steel; be put through the mill
百感交集,a multitude of feelings surges up; crowd upon one's mind
百口莫辩,a hundred mouths cannot explain it away; 
百孔千疮,in a disastrous state; be afflicted with all ills
百花齐放,let a hundred flowers blossom and a hundred schools of thought contend; 
百折不挠,be indomitable; unbending
百战百胜,invincible; ever-victorious
百尺竿头,keep forging ahead; take one more step forward
百川归海,all things tend in one direction; all streams meet in the sea
百足之虫,old institutions die hard; a centipede dies but never falls down
百思不解,incomprehensible; unfathomable
百依百顺,docile and obedient; be at a person's beck and call
百无聊赖,bored to death; overcome with boredom
百无禁忌,stop at nothing; without restraint
百无一失,cannot possibly go wrong; no risk at all
百闻不如一见,seeing is believing; there is nothing like seeing for yourself
皆大欢喜,everybody is happy; satisfaction of everybody concerned
皮开肉绽,the skin is torn and the flesh gapes open; badly bruised from flogging
皮笑肉不笑,put on a false smile; skin-deep smile
皮之不存,"a thing cannot exist without its basis; with the skin gone, what can the hair adhere to"
盛名难副,it is hard to live up to a great reputation; 
盛极一时,be all the rage at the moment; be in fashion in one's time
盛气凌人,be pushy and overbearing; domineering
盛情难却,be ungracious not to accept somebody's invitation; difficult to refuse such kindness
盛衰荣辱,the ups and downs; vicissitudes of life
尽力而为,do one's best; try to do it with utmost effort
尽心竭力,with all one's heart; put one's heart and soul into
尽善尽美,perfectly good and perfectly beautiful; perfect
尽人事,do one's level best and leave the rest to God's will; 
尽如人意,to one's heart's content; 
监守自盗,embezzle; defalcate
盘根错节,complicated and difficult to deal with; deep-rooted
目不交睫,not sleep a wink; 
目不见睫,lack of self-knowledge; the eye cannot see its lashes
目不暇给,the eye cannot take it all in; too many things for the eye to see
目不转睛,look with fixed eyes; a fixed gaze
目不识丁,be completely ignorant or illiterate; unread
目瞪口呆,stare at in mute amazement; dumbfounded
目光如豆,of narrow vision; shortsighted
目光如炬,farsighted; looking ahead with wisdom
目空一切,insolent; supercilious
目中无人,supercilious; far gone in pride
盲人摸象,one-sided view; take a part for the whole
盲人瞎马,rushing headlong to an immediate danger; a blind person riding a blind horse
直截了当,simple and direct; point-blank
直抒己见,talk directly and simply; be plainspoken
直言不讳,outspoken; talk straight
直言贾祸,straight talk invites disaster; 
相反相成,oppose each other and yet also complement each other; both opposite and complementary to each other
相辅相成,supplement each other; complement each other
相得益彰,bring out the best in each other; benefit by association together
相提并论,put something on a par with; regard in the same category
相机行事,do as one sees fit; act at the opportune time
相敬如宾,treat each other with respect; never fail in mutual respect
相去无几,not much difference between; 
相形见绌,overshadowed; be outshone
相知有素,have known each other long; 
相生相克,mutual promotion and restraint between the five elements; 
相安无事,live in peace with each other; live together peacefully
相依为命,shore one's life together; be bound by a common destiny
相沿成习,become a custom through long usage; 
相映成趣,set each other off; gain by contrast
省吃俭用,live frugally; 
眉毛胡子一把抓,try to attend to big and small matters all at once; try to grasp the eyebrows and the beard all at once
眉飞色舞,look. of exultation; exultantly
眉头一皱,knit the brows and a stratagem comes to mind; 
